Model	Launch	Core name	Tech	Socket	Cores	Threads	Freq (MHz)	Turbo (MHz)	FSB (MHz)	L2 Cache (KB)	L3 Cache (KB)	TDP (Watt)	DP FLOPs/cycle	DB FLOPS (No Turbo)	DB FLOPS/Watt
 E5-2603 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	4	4	1800	  	 3200 (DMI/QPI) 	1024	10240	80	8	57600	720
 E5-2603 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	4	4	1800	  	 3200 (DMI/QPI) 	1024	10240	80	8	57600	720
 X5660 	 Mar 2010 	 Westmere-EP 	0.032	 Socket 1366 	6	12	2800	3200	 3200 (DMI/QPI) 	1536	12288	95	4	67200	707
 E7-2860 	 Apr 2011 	 Westmere-EX 	0.032	 Socket 1567 	10	20	2267	2667	 3200 (DMI/QPI) 	2560	24576	130	4	90680	698
 E7-4860 	 Apr 2011 	 Westmere-EX 	0.032	 Socket 1567 	10	20	2267	2667	 3200 (DMI/QPI) 	2560	24576	130	4	90680	698
 E7-8860 	 Apr 2011 	 Westmere-EX 	0.032	 Socket 1567 	10	20	2267	2667	 3200 (DMI/QPI) 	2560	24576	130	4	90680	698
 E5-1603 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	4	4	2800	  	  	1024	10240	130	8	89600	689
 X5650 	 Mar 2010 	 Westmere-EP 	0.032	 Socket 1366 	6	12	2667	3067	 3200 (DMI/QPI) 	1536	12288	95	4	64008	674
 E5-4603 	 May 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	4	8	2000	  	 3200 (DMI/QPI) 	1024	10240	95	8	64000	674
 L3426 	 Sep 2009 	 Lynnfield 	0.045	 Socket 1156 	4	8	1867	3200	  	1024	8192	45	4	29872	664
 E7-8837 	 Apr 2011 	 Westmere-EX 	0.032	 Socket 1567 	8	8	2667	2800	 3200 (DMI/QPI) 	2048	24576	130	4	85344	656
 E7-2830 	 Apr 2011 	 Westmere-EX 	0.032	 Socket 1567 	8	16	2133	2400	 3200 (DMI/QPI) 	2048	24576	105	4	68256	650
 E7-4830 	 Apr 2011 	 Westmere-EX 	0.032	 Socket 1567 	8	16	2133	2400	 3200 (DMI/QPI) 	2048	24576	105	4	68256	650
 E7-8830 	 Apr 2011 	 Westmere-EX 	0.032	 Socket 1567 	8	16	2133	2400	 3200 (DMI/QPI) 	2048	24576	105	4	68256	650
 L5530 	 Aug 2009 	 Nehalem-EP 	0.045	 Socket 1366 	4	8	2400	2667	 2933 (DMI/QPI) 	1024	8192	60	4	38400	640
 X5690 	 Feb 2011 	 Westmere-EP 	0.032	 Socket 1366 	6	12	3467	3733	 3200 (DMI/QPI) 	1536	12288	130	4	83208	640
 L7555 	 Mar 2010 	 Beckton 	0.045	 Socket 1567 	8	16	1867	2533	 2933 (DMI/QPI) 	2048	24576	95	4	59744	629
 X5680 	 Mar 2010 	 Westmere-EP 	0.032	 Socket 1366 	6	12	3333	3600	 3200 (DMI/QPI) 	1536	12288	130	4	79992	615
 E7-2850 	 Apr 2011 	 Westmere-EX 	0.032	 Socket 1567 	10	20	2000	2400	 3200 (DMI/QPI) 	2560	24576	130	4	80000	615
 E7-4850 	 Apr 2011 	 Westmere-EX 	0.032	 Socket 1567 	10	20	2000	2400	 3200 (DMI/QPI) 	2560	24576	130	4	80000	615
 E7-8850 	 Apr 2011 	 Westmere-EX 	0.032	 Socket 1567 	10	20	2000	2400	 3200 (DMI/QPI) 	2560	24576	130	4	80000	615
 E7-2820 	 Apr 2011 	 Westmere-EX 	0.032	 Socket 1567 	8	16	2000	2267	 2933 (DMI/QPI) 	2048	18432	105	4	64000	610
 E7-4820 	 Apr 2011 	 Westmere-EX 	0.032	 Socket 1567 	8	16	2000	2267	 2933 (DMI/QPI) 	2048	18432	105	4	64000	610
 L3406 	 Mar 2010 	 Clarkdale 	0.032	 Socket 1156 	2	4	2267	2533	  	512	4096	30	4	18136	605
 L5520 	 Mar 2009 	 Nehalem-EP 	0.045	 Socket 1366 	4	8	2267	2533	 2933 (DMI/QPI) 	1024	8192	60	4	36272	605
 E5-2637 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	2	4	3000	3500	 4000 (DMI/QPI) 	512	5120	80	8	48000	600
 LC5518 	 Feb 2010 	 Jasper Forest 	0.045	 Socket 1366 	4	8	1733	2133	 2400 (DMI/QPI) 	1024	8192	48	4	27728	578
 L5506 	 Mar 2009 	 Nehalem-EP 	0.045	 Socket 1366 	4	4	2133	  	 2400 (DMI/QPI) 	1024	4096	60	4	34128	569
 L5518 	 Mar 2009 	 Nehalem-EP 	0.045	 Socket 1366 	4	8	2133	2400	 2933 (DMI/QPI) 	1024	8192	60	4	34128	569
 LC5528 	 Feb 2010 	 Jasper Forest 	0.045	 Socket 1366 	4	8	2133	2533	 2400 (DMI/QPI) 	1024	8192	60	4	34128	569
 X7560 	 Mar 2010 	 Beckton 	0.045	 Socket 1567 	8	16	2267	2667	 3200 (DMI/QPI) 	2048	24576	130	4	72544	558
 X5672 	 Feb 2011 	 Westmere-EP 	0.032	 Socket 1366 	4	8	3200	3600	 3200 (DMI/QPI) 	1024	12288	95	4	51200	539
 L3403 	 Jun 2010 	 Clarkdale 	0.032	 Socket 1156 	2	2	2000	  	  	512	4096	30	4	16000	533
 E5640 	 Mar 2010 	 Westmere-EP 	0.032	 Socket 1366 	4	8	2667	2933	 2933 (DMI/QPI) 	1024	12288	80	4	42672	533
 EC3539 	 Feb 2010 	 Jasper Forest 	0.045	 Socket 1366 	4	4	2133	  	  	1024	8192	65	4	34128	525
 X3480 	 May 2010 	 Lynnfield 	0.045	 Socket 1156 	4	8	3067	3733	  	1024	8192	95	4	49072	517
 X5667 	 Mar 2010 	 Westmere-EP 	0.032	 Socket 1366 	4	8	3067	3467	 3200 (DMI/QPI) 	1024	12288	95	4	49072	517
 E5540 	 Mar 2009 	 Nehalem-EP 	0.045	 Socket 1366 	4	8	2533	2800	 2933 (DMI/QPI) 	1024	8192	80	4	40528	507
 E5630 	 Mar 2010 	 Westmere-EP 	0.032	 Socket 1366 	4	8	2533	2800	 2933 (DMI/QPI) 	1024	12288	80	4	40528	507
 X3470 	 Sep 2009 	 Lynnfield 	0.045	 Socket 1156 	4	8	2933	3600	  	1024	8192	95	4	46928	494
 X5570 	 Mar 2009 	 Nehalem-EP 	0.045	 Socket 1366 	4	8	2933	3333	 3200 (DMI/QPI) 	1024	8192	95	4	46928	494
 X6550 	 Mar 2010 	 Nehalem-EX 	0.045	 Socket 1567 	8	16	2000	2400	 3200 (DMI/QPI) 	2048	18432	130	4	64000	492
 X7542 	 Mar 2010 	 Beckton 	0.045	 Socket 1567 	6	6	2667	2800	 2933 (DMI/QPI) 	1536	18432	130	4	64008	492
 X7550 	 Mar 2010 	 Beckton 	0.045	 Socket 1567 	8	16	2000	2400	 3200 (DMI/QPI) 	2048	18432	130	4	64000	492
 E5530 	 Mar 2009 	 Nehalem-EP 	0.045	 Socket 1366 	4	8	2400	2667	 2933 (DMI/QPI) 	1024	8192	80	4	38400	480
 E5620 	 Mar 2010 	 Westmere-EP 	0.032	 Socket 1366 	4	8	2400	2667	 2933 (DMI/QPI) 	1024	12288	80	4	38400	480
 EC5549 	 Feb 2010 	 Jasper Forest 	0.045	 Socket 1366 	4	8	2533	2933	 2933 (DMI/QPI) 	1024	8192	85	4	40528	477
 X3460 	 Sep 2009 	 Lynnfield 	0.045	 Socket 1156 	4	8	2800	3467	  	1024	8192	95	4	44800	472
 X5560 	 Mar 2009 	 Nehalem-EP 	0.045	 Socket 1366 	4	8	2800	3200	 3200 (DMI/QPI) 	1024	8192	95	4	44800	472
 E7-4807 	 Apr 2011 	 Westmere-EX 	0.032	 Socket 1567 	6	12	1867	  	 2400 (DMI/QPI) 	1536	18432	95	4	44808	472
 L7545 	 Mar 2010 	 Beckton 	0.045	 Socket 1567 	6	12	1867	2533	 2933 (DMI/QPI) 	1536	18432	95	4	44808	472
